artist; nation
Mikhail Shufutinsky;RU
kizaru, Big Baby Tape;RU
Dany Bit;EN
Dom La Nena, Jeremy Sole, Atropolis;EN
Tyler, The Creator;EN
$uicideboy$;EN
VisaGangBeatz, MAYOT, SEEMEE;RU
BUSTER;RU
кис-кис;RU
JAMIK, PUSSYKILLER;RU
Zivert;RU
Deny Bit;EN
Big Baby Tape;RU
Mav-d, Miyagi & Andy Panda;RU
Olivia Rodrigo;EN
Bella Poarch;EN
SQWOZ BAB, GONE.Fludd, blago white;RU
SODA LUV, SQWOZ BAB;RU
Elena Tsagrinou;RU
Bruno Mars, Anderson .Paak, Silk Sonic;EN
Мосты;RU
SEEMEE, MAYOT;RU
МОТ, LYRIQ;RU
Yanix, OG Buda, 163ONMYNECK;RU
Husky;RU
Doja Cat, SZA;EN
Drake, 21 Savage, Project Pat;EN
Канги;RU
The Hatters, Dzharakhov;RU
We, Лэривэйн;RU
BUSHIDO ZHO, Yanix;RU
Katy Perry;EN
Баста feat. Алёна Омаргалиева;RU
Giveon;EN
Post Malone, The Weeknd;EN
GAYAZOV$ BROTHER$, Filatov & Karas;RU
Ruki Vverh!, HammAli & Navai;RU
DaBaby, Roddy Ricch;EN
Anet Sai;RU
Scally Milano, 163ONMYNECK, MAYOT;RU
24kGoldn, iann dior;EN
Ava Max;EN
Quest Pistols Official;UA
Yanix, Poshlaya Molly;RU
Aarne, LIL KRYSTALLL;RU
Колос;EN
Baby Keem, Travis Scott;EN
Вакарчук;UA
Halsey;EN
MORGENSHTERN, SLAVA MARLOW;RU
MORGENSHTERN, Imanbek, Fetty Wap, KDDK;RU
Joel Corry, MNEK;EN
Egor Kreed, MAYOT;RU
THE ROOP;EN
LVL1;EN
DVRST, OBLXKQ;EN/
OG Buda, blago white;RU
Alexiane, Moses, EMR3YGUL;EN
просто Лера;RU
Султан Лагучев;RU
Saweetie, Doja Cat;EN
T-Fest, Skryptonite;RU
Lil Peep, XXXTENTACION;EN
SyKo;EN
Daði Freyr;EN
Egor Kreed, Dzharakhov, BUSTER;RU
Trippie Redd, Playboi Carti;EN
LOVV66, Skryptonite;RU
LIZER, MAYOT;RU
Lenka;RU
RØNIN;EN
YUNG TRAPPA, MORGENSHTERN;RU
Maroon 5, Megan Thee Stallion;EN
Mekhman;RU
МОТ, JONY;RU
Egor Kreed, blago white;RU
The Kid LAROI, Miley Cyrus;EN
WhyBaby?, UncleFlexxx;RU
Nessa Barrett, jxdn;EN
Internet Money, Gunna, Don Toliver, NAV;EN
KAZKA;UA
SLAVA MARLOW, The Limba, Eldzhey;RU
JACKBOYS, Travis Scott, Young Thug;EN
Polo G;EN
Electroforez;RU
The Limba, GONE.Fludd;RU
Travis Scott, HVME;EN
Kali Uchis;EN
OG Buda, OBLADAET;RU
Tyler, The Creator, Lil Uzi Vert, Pharrell Williams;EN
Bring Me The Horizon;EN
OG Buda, Платина;RU
CKay;EN
Gjon's Tears;EN
Drake, Future, Young Thug;EN
Ramil';RU
Lorde;EN
Basta;RU
Dua Lipa, DaBaby;EN
Lil Pencil, strogo, lixxx, Koresh, paradeev1ch;RU
MAX BARSKIH, Zivert;RU
The Hardkiss, MONATIK;UA
MiyaGi, KADI;RU
The Limba, Rakhim;RU
Roddy Ricch;EN
Klywoodjeb;RU
Neverlove, bratishkin;RU
CJ;EN
Skryptonite, Сёстры;RU
Noize MC;RU
FEDUK;RU
The Limba, Andro, Navai;RU
Dua Lipa;EN
SODA LUV, Buster;RU
Flëur;RU
Trinidad Cardona;EN
grandson;EN
HENSY;RU
Barbara Pravi;EN
Billie Eilish;EN
ФОГЕЛЬ;RU
Oleg Miami;RU
Goro;RU
Majestic, Boney M.;RU
Cardi B;EN
J Balvin, Skrillex;EN
Vladimir Dantes;RU/UA
M'Dee, Skryptonite;RU
Fiinka;UA
Trevor Daniel;EN
ATB, Topic, A7S;EN
INDABLACK, Skryptonite, qurt;RU
Pretty Scream, MAYOT;RU
VACÍO, Eldzhey;RU
Markul, ANIKV;RU
MORGENSHTERN, Timati;RU
Rakhim;RU
Ashnikko, Princess Nokia;EN
SLAVA MARLOW, HammAli & Navai;RU
Justin Bieber, Daniel Caesar, Giveon;EN
T-Fest;RU
Tyler, The Creator, 42 Dugg;EN
Destiny;RU
akha;RU
Skryptonite, FEDUK;RU
My;RU
ENHYPEN;EN
The Weeknd, Ariana Grande;EN
VisaGangBeatz, MAYOT, SEEMEE, 163ONMYNECK;RU
Akmal';RU
УННВ;RU
Twenty One Pilots;EN
Duncan Laurence;EN
LOVV66, OG Buda;RU
Дурной Вкус;RU
Dima Bilan, Mari Kraimbrery;RU
104, MiyaGi, Skryptonite;RU
SAINt JHN, Imanbek;EN
Riton, Nightcrawlers, Mufasa & Hypeman, Dopamine;EN
ЕГОР ШИП;RU
Miley Cyrus, Dua Lipa;EN
Clonnex, Semmyx;RU
NK;UA/RU
MAYOT, YUNGWAY, Sqweezey;RU
Tember Blanche;UA
МОТ;RU
Rodionis, Skryptonite;RU
Rita Ora, David Guetta, Imanbek, Gunna;EN
Alan Walker, Imanbek;EN
Masked Wolf, Egor Kreed;RU
MiyaGi, TumaniYO, Kadi;RU
MEDUZA, Dermot Kennedy;EN
Egor Kreed, OG Buda;RU
Efendi;EN
Post Malone;EN
Серебряная свадьба;RU
Drake, Travis Scott;EN
Blind Channel;EN
Drake;EN
Markul, Dyce;RU
Eldzhey, Rakhim;RU
SODA LUV, OG Buda;RU
Oliver Tree, Little Big, Tommy Cash;EN
Magnum Opus, MAYOT;RU
Andrey Gubin;RU
Fousheé;EN
ElyOtto;EN
Martin Garrix, Bono, The Edge;EN
Tiësto, KAROL G;EN
Tina Karol;UA/RU
Skryptonite, INDABLACK, qurt, Rodionis;RU
SLAVA MARLOW, MORGENSHTERN;RU
OG Buda, BUSHIDO ZHO;RU
Krovostok;RU
Markul, SALUKI;RU
kizaru, Tory Lanez;RU
Doja Cat, The Weeknd;EN
By Индия;RU
ANAZED;RU
Drake, Lil Baby;EN
Skryptonite, Andy Panda, 104;RU
PLOHOYPAREN, LIL MORTY;RU
347aidan;EN
Manizha;RU
KALUSH, Victor Perry;UA
Gunwest, UncleFlexxx;RU
Zemfira;RU
T-Fest, FEDUK;RU
TVETH, LIL SMOOKY, Boulevard Depo;RU
Slavik Pogosov;RU
Egor Kreed, GUF;RU
ELMAN, JONY;RU
JONY, The Limba;RU
DJ Tapolsky;RU
SQWOZ BAB, Dzharakhov;RU
Joel Corry, RAYE, David Guetta;EN
SEEMEE, SODA LUV;RU
Coldplay;EN
Boulevard Depo, JEEMBO;RU
Ollane, Miyagi & Andy Panda;RU
INNA;EN
blago white;RU
Платина, OG Buda;RU
DAKOOKA;RU/UA
Egor Kreed, SODA LUV;RU
1nonly, SXMPRA;EN
MATRANG;RU
MAYOT, FEDUK;RU
Kanye West;EN
Lizzo, Cardi B;EN
Jah Khalib, Agon;RU
BODIEV;RU
NLO;RU
Tyler, The Creator, YoungBoy Never Broke Again, Ty Dolla $ign;EN
OG Buda, Egor Kreed, MAYOT, SODA LUV;RU
MORGENSHTERN, YUNG TRAPPA;RU
Eibell;EN
Платина, LIL VAN;RU
Aarne, The Limba, Markul;RU
ONUKA;UA
ITZY;EN
Belly, The Weeknd, Young Thug;EN
DJ SMASH, MORGENSHTERN;RU
Ильич да Софья, SLAVA MARLOW;RU
Dzharakhov, Mary Gu;RU
The Limba, Skryptonite;RU
Bula, SVNV;RU
GSPD, DEAD BLONDE;RU
DEMCHUK, NK;UA
SLAVA MARLOW, MK;RU
CKay, Dj Yo!, AX'EL;EN
kostromin;RU
MAYOT, BUSHIDO ZHO, SEEMEE;RU
SALUKI, 104, ANIKV, BILIK;RU
Travis Scott;EN
Dany Bit, Deny Bit;EN
SEEYASIDE;RU
Eldzhey;RU
UncleFlexxx;RU
PLOHOYPAREN, blago white;RU
SICKOTOY, MARUV;RU
Skofka, KALUSH;UA
kizaru, JABO;RU
Dua Lipa, Imanbek;EN
Shouse, David Guetta;EN
DOROFEEVA, Skryptonite;RU
MOZGI;RU/UA
LILDRUGHILL, ROCKET;RU
Платина, PLOHOYPAREN;RU
BTS, Megan Thee Stallion;EN
Shouse;EN
SLAVA MARLOW, Платина, Лера Маяк;RU
Mag.Lo;EN
Gunwest;RU
THRILL PILL, SODA LUV;RU
Scally Milano, Pasha Technique, uglystephan;RU
